"","treatment","location","sex","HISTO.CASETTE.NO","cat"
"1","10","SB","male","301",3
"2","10","SB","female","296",4
"3","10","SB","male","287",4
"4","10","SB","female","283",2
"5","10","SB","male","281",4
"6","10","SB","male","270",3
"7","10","SB","female","260",3
"8","10","SB","female","256",4
"9","10","SB","female","255",4
"10","10","SB","female","247",3
"11","10","SB","female","245",3
"12","10","SB","female","235",1
"13","10","SB","male","224",2
"14","10","SB","male","221",4
"15","10","SB","male","218",4
"16","10","SB","male","211",4
"17","10","SB","male","206",4
"18","10","SB","male","177",2
"19","10","SB","female","124",4
"20","10","SB","male","123",2
"21","10","SB","male","108",2
"22","10","SB","male","86",4
"23","10","SD","female","253",4
"24","10","SD","female","252",3
"25","10","SD","female","249",4
"26","10","SD","female","248",2
"27","10","SD","female","244",4
"28","10","SD","male","228",3
"29","10","SD","male","226",4
"30","10","SD","female","220",4
"31","10","SD","male","209",4
"32","10","SD","male","208",3
"33","10","SD","female","171",3
"34","10","SD","male","165",4
"35","10","SD","male","162B",4
"36","10","SD","male","162A",4
"37","10","SD","female","160",2
"38","10","SD","female","146",4
"39","10","SD","female","138",3
"40","10","SD","male","127",4
"41","10","SD","female","118",4
"42","10","SD","female","115",4
"43","10","SD","male","255",2
"44","10","SD","male","259",3
"45","10","SD","male","295",4
"46","10","SD","male","285",4
"47","10","SD","male","299",4
"48","10","SD","female","300",2
"49","10","SD","female","302",1
"50","10","SON","male","127",4
"51","10","SON","female","171",4
"52","10","SON","female","219",4
"53","10","SON","male","222",4
"54","10","SON","male","227",4
"55","10","SON","female","233",4
"56","10","SON","female","236",4
"57","10","SON","female","242",4
"58","10","SON","female","246",3
"59","10","SON","male","251",3
"60","10","SON","male","258",3
"61","10","SON","male","260",2
"62","10","SON","female","261",3
"63","10","SON","female","264",4
"64","10","SON","female","265",4
"65","10","SON","female","297",2
"66","10","SON","female","293",1
"67","10","SON","male","292",4
"68","10","SON","female","289",4
"69","10","SON","female","274",4
"70","10","SON","female","272",4
"71","10","SON","male","271",4
"72","10","SON","female","269",4
"73","10","SON","female","267",2
"74","20","SB","female","294",2
"75","20","SB","female","296",1
"76","20","SB","female","281",1
"77","20","SB","female","276",1
"78","20","SB","female","263",2
"79","20","SB","female","260",1
"80","20","SB","male","254",4
"81","20","SB","male","240",4
"82","20","SB","male","220",3
"83","20","SB","female","209",1
"84","20","SB","female","205",1
"85","20","SB","female","215",2
"86","20","SB","female","217",1
"87","20","SB","female","210",2
"88","20","SB","female","208",1
"89","20","SB","male","193",4
"90","20","SB","male","163",4
"91","20","SB","female","150",1
"92","20","SD","female","211",1
"93","20","SD","male","214",4
"94","20","SD","male","221",3
"95","20","SD","female","230",1
"96","20","SD","female","233",1
"97","20","SD","female","247",1
"98","20","SD","female","250",1
"99","20","SD","male","253",3
"100","20","SD","female","257",1
"101","20","SD","female","258",1
"102","20","SD","male","269",2
"103","20","SD","male","271",4
"104","20","SD","female","280",2
"105","20","SD","male","292",4
"106","20","SD","male","293",4
"107","20","SD","female","297",2
"108","20","SD","female","299",1
"109","20","SD","male","295",3
"110","20","SON","male","",1
"111","20","SON","female","298",2
"112","20","SON","male","300",4
"113","20","SON","male","285",4
"114","20","SON","male","277",2
"115","20","SON","female","270",1
"116","20","SON","female","256",1
"117","20","SON","female","242",1
"118","20","SON","male","249",3
"119","20","SON","male","237",4
"120","20","SON","female","234",1
"121","20","SON","female","232",2
"122","20","SON","female","229",4
"123","20","SON","male","216",4
"124","20","SON","female","202",4
"125","20","SON","female","201",4
"126","20","SON","male","188",4
"127","20","SON","male","185",4
"128","20","SON","female","175",2
"129","20","SON","male","150",3
"130","20","SON","female","132",1
"131","20","SON","male","124",4
"132","20","SON","male","61",4
"133","HW","SB","female","400",3
"134","HW","SB","male","396",3
"135","HW","SB","male","394",3
"136","HW","SB","male","388",2
"137","HW","SB","male","387",3
"138","HW","SB","female","386",1
"139","HW","SB","male","383",2
"140","HW","SB","female","378",1
"141","HW","SB","male","377",4
"142","HW","SB","male","349",4
"143","HW","SB","female","342",1
"144","HW","SB","male","344",4
"145","HW","SB","female","346",4
"146","HW","SB","male","341",2
"147","HW","SB","male","332",4
"148","HW","SB","male","327",1
"149","HW","SB","female","323",1
"150","HW","SB","female","308",1
"151","HW","SB","male","249",2
"152","HW","SD","female","374",1
"153","HW","SD","female","370",3
"154","HW","SD","female","367",3
"155","HW","SD","female","389",2
"156","HW","SD","male","365",4
"157","HW","SD","male","340",2
"158","HW","SD","male","339",2
"159","HW","SD","male","317",3
"160","HW","SD","female","314",4
"161","HW","SD","male","309",1
"162","HW","SD","male","307",1
"163","HW","SD","male","268",2
"164","HW","SD","female","361",3
"165","HW","SD","female","238",1
"166","HW","SD","female","362",1
"167","HW","SD","male","359",1
"168","HW","SON","male","365",3
"169","HW","SON","male","391",3
"170","HW","SON","male","379",4
"171","HW","SON","male","395",3
"172","HW","SON","male","384",3
"173","HW","SON","male","373",3
"174","HW","SON","male","369",1
"175","HW","SON","male","363",2
"176","HW","SON","male","354",4
"177","HW","SON","female","348",4
"178","HW","SON","female","350",1
"179","HW","SON","female","333",3
"180","HW","SON","male","330",4
"181","HW","SON","male","328",4
"182","HW","SON","male","325",3
"183","HW","SON","female","322",3
"184","HW","SON","male","316",4
"185","HW","SON","female","312",1
"186","HW","SON","male","305",3
"187","HW","SON","female","302",1
"188","HW","SON","female","303",2
"189","HW","SON","male","368",3
"190","HW","SON","female","108",1
"191","HW","SON","female","248",3
